iter	Passed	Remaining
279	17281	7406
280	17336	7341
281	17407	7283
282	17456	7217
283	17517	7155
284	17576	7092
285	17632	7028
286	17693	6966
287	17740	6899
288	17801	6837
289	17859	6774
290	17931	6716
291	18004	6659
292	18063	6596
293	18131	6537
294	18185	6472
295	18242	6409
296	18315	6351
297	18389	6294
298	18442	6229
299	18516	6172
300	18572	6108
301	18638	6048
302	18706	5988
303	18765	5925
304	18819	5861
305	18888	5802
306	18958	5743
307	19029	5684
308	19083	5619
309	19152	5560
310	19214	5498
311	19279	5437
312	19333	5373
313	19399	5313
314	19457	5250
315	19502	5184
316	19563	5122
317	19635	5063
318	19706	5003
319	19774	4943
320	19843	4883
321	19907	4822
322	19973	4761
323	20041	4701
324	20107	4640
325	20164	4577
326	20223	4514
327	20287	4453
328	20351	4391
329	20415	4330
330	20472	4267
331	20537	4206
332	20605	4145
333	20683	4087
334	20752	4026
335	20817	3965
336	20879	3903
337	20953	3843
338	21024	3783
339	21086	3721
340	21155	3660
341	21231	3600
342	21301	3539
343	21365	3478
344	21383	3408
345	21443	3346
346	21515	3286
347	21569	3223
348	21629	3160
349	21691	3098
350	21743	3035
351	21810	2974
352	21877	2912
353	21952	2852
354	22020	2791
355	22074	2728
356	22127	2665
357	22179	2602
358	22241	2540
359	22304	2478
360	22379	2417
361	22447	2356
362	22504	2293
363	22560	2231
364	22611	2168
365	22683	2107
366	22747	2045
367	22826	1984
368	22893	1923
369	22957	1861
370	23006	1798
371	23076	1736
372	23145	1675
373	23206	1613
374	23263	1550
375	23323	1488
376	23391	1427
377	23463	1365
378	23522	1303
379	23573	1240
380	23642	1179
381	23712	1117
382	23776	1055
383	23831	992
384	23902	931
385	23971	869
386	24037	807
387	24089	745
388	24145	682
389	24210	620
390	24282	558
391	24349	496
392	24414	434
393	24487	372
394	24556	310
395	24585	248
396	24662	186
397	24731	124
398	24806	62
399	24868	0
