SIDO,VISIT_AREA_NM,GUNGU,EUPMYEON,VISIT_AREA_TYPE_CD,RESIDENCE_TIME_MIN_mean,RCMDTN_INTENTION_mean,REVISIT_YN_mean,TRAVEL_COMPANIONS_NUM_mean,REVISIT_INTENTION_mean
제주특별자치도,영진보말칼국수 제주협재점,제주시,한림읍,11.0,60.0,4.5,0.5,0.5,4.5
제주특별자치도,순천미향,서귀포시,안덕면,11.0,55.71428571428572,4.571428571428571,0.1428571428571428,1.7142857142857142,4.285714285714286
제주특별자치도,이니스프리 제주하우스,서귀포시,안덕면,11.0,66.0,3.6,0.4,1.2,3.4
제주특별자치도,국시트멍,제주시,노형동,11.0,40.0,3.8333333333333335,0.1666666666666666,0.8333333333333334,3.5
제주특별자치도,산지해장국 서귀포점,서귀포시,강정동,11.0,37.5,4.25,0.25,1.0,4.5
제주특별자치도,고집돌우럭 제주공항점,제주시,건입동,11.0,68.57142857142857,4.857142857142857,0.1428571428571428,1.5714285714285714,4.714285714285714
제주특별자치도,처가집연탄구이,서귀포시,하효동,11.0,90.0,5.0,0.0,1.5,5.0
제주특별자치도,칠돈가 본점,제주시,용담이동,11.0,75.0,4.166666666666667,0.1666666666666666,2.0,4.333333333333333
제주특별자치도,제주선채향,서귀포시,안덕면,11.0,67.5,4.375,0.375,0.75,4.375
제주특별자치도,올래국수 본점,제주시,연동,11.0,49.09090909090909,4.363636363636363,0.1818181818181818,1.181818181818182,4.0
제주특별자치도,제주신화월드 랜딩다이닝,서귀포시,안덕면,11.0,100.0,3.6666666666666665,0.0,3.6666666666666665,3.6666666666666665
제주특별자치도,리치망고 함덕점,제주시,조천읍,11.0,30.0,4.0,0.0,0.6666666666666666,4.0
제주특별자치도,초밥공장,제주시,구좌읍,11.0,52.5,4.25,0.0,0.25,4.5
제주특별자치도,서민당,제주시,이도이동,11.0,60.0,5.0,0.0,2.0,5.0
제주특별자치도,느루온,제주시,이도이동,11.0,97.5,4.5,0.25,0.5,4.5
제주특별자치도,떡하니문어떡볶이,제주시,구좌읍,11.0,60.0,5.0,0.0,1.5,5.0
