SIDO,VISIT_AREA_NM,GUNGU,EUPMYEON,VISIT_AREA_TYPE_CD,RESIDENCE_TIME_MIN_mean,RCMDTN_INTENTION_mean,REVISIT_YN_mean,TRAVEL_COMPANIONS_NUM_mean,REVISIT_INTENTION_mean
제주특별자치도,신비의도로,제주시,노형동,7.0,40.0,3.0,0.6666666666666666,2.333333333333333,2.333333333333333
제주특별자치도,윈드1947카트테마파크,서귀포시,토평동,5.0,70.0,3.9166666666666665,0.0,1.75,3.7083333333333335
제주특별자치도,서우봉,제주시,조천읍,1.0,48.0,4.533333333333333,0.2666666666666666,0.9333333333333332,4.2
제주특별자치도,헬로키티아일랜드,서귀포시,안덕면,3.0,90.0,4.090909090909091,0.1818181818181818,3.0,3.363636363636364
제주특별자치도,닭머르,제주시,조천읍,1.0,30.0,4.384615384615385,0.0,1.0769230769230769,4.230769230769231
제주특별자치도,신천목장,서귀포시,성산읍,1.0,45.0,5.0,0.0,1.0,5.0
제주특별자치도,삼성혈,제주시,이도일동,1.0,50.0,4.166666666666667,0.1666666666666666,0.8333333333333334,3.6666666666666665
제주특별자치도,제주목 관아,제주시,삼도2동,2.0,38.18181818181818,4.181818181818182,0.0,0.3636363636363636,3.727272727272727
제주특별자치도,관덕정,제주시,삼도2동,2.0,37.5,3.75,0.125,0.5,3.75
제주특별자치도,제주돌문화공원,제주시,조천읍,1.0,78.75,4.625,0.0,2.75,4.5
제주특별자치도,삼양해수욕장,제주시,삼양이동,1.0,56.66666666666666,4.111111111111111,0.1111111111111111,0.8333333333333334,3.7777777777777777
제주특별자치도,논짓물해변,서귀포시,하예동,1.0,36.0,4.4,0.2,0.4,4.4
제주특별자치도,제주사월,제주시,용담일동,4.0,60.0,4.5,0.0,1.0,4.0
제주특별자치도,상가리야자숲,제주시,애월읍,1.0,33.75,3.25,0.0,1.625,3.0
제주특별자치도,칠성로쇼핑거리,제주시,일도1동,4.0,90.0,3.7142857142857135,0.4285714285714285,0.5714285714285714,3.857142857142857
제주특별자치도,청굴물,제주시,구좌읍,1.0,40.0,4.333333333333333,0.0,1.2222222222222223,4.222222222222222
제주특별자치도,휘닉스제주 유민미술관,서귀포시,성산읍,3.0,60.0,4.5,0.25,0.5,4.5
제주특별자치도,수월봉,제주시,한경면,1.0,43.63636363636363,4.363636363636363,0.1818181818181818,1.0,4.2727272727272725
제주특별자치도,서귀포향토오일시장,서귀포시,동홍동,4.0,42.0,3.6,0.2,2.6,3.6
제주특별자치도,평대리해수욕장,제주시,구좌읍,1.0,70.0,4.333333333333333,0.4444444444444444,0.7777777777777778,4.444444444444445
제주특별자치도,페이보릿,서귀포시,성산읍,4.0,30.0,4.5,0.5,0.5,5.0
제주특별자치도,따라비오름,서귀포시,표선면,7.0,86.66666666666667,4.444444444444445,0.2222222222222222,1.6666666666666667,4.444444444444445
제주특별자치도,동문공설시장,제주시,일도1동,4.0,45.0,4.5,1.0,2.5,4.0
제주특별자치도,산물관광농원,서귀포시,남원읍,3.0,60.0,3.333333333333333,0.0,2.0,3.333333333333333
제주특별자치도,제주시민속오일시장,제주시,도두일동,4.0,57.27272727272727,4.545454545454546,0.3636363636363636,0.7272727272727273,4.545454545454546
제주특별자치도,제주중앙지하상가,제주시,이도일동,4.0,30.0,4.0,0.0,0.0,4.0
제주특별자치도,제주시청,제주시,이도2동,4.0,50.0,3.333333333333333,1.0,0.3333333333333333,3.6666666666666665
제주특별자치도,작가의산책길,서귀포시,서귀동,7.0,37.5,4.25,0.0,0.25,4.25
제주특별자치도,제주문화예술진흥원 제주문예회관,제주시,일도2동,3.0,90.0,4.8,0.2,1.4,4.8
제주특별자치도,가파도,서귀포시,대정읍,1.0,123.52941176470588,4.117647058823529,0.0,1.588235294117647,3.7058823529411766
제주특별자치도,용천수탐방길,제주시,조천읍,7.0,40.0,4.333333333333333,0.0,2.0,4.333333333333333
제주특별자치도,군산오름 등산로 입구,서귀포시,상예동,1.0,40.0,4.0,0.3333333333333333,1.3333333333333333,4.333333333333333
제주특별자치도,건강과성박물관,서귀포시,안덕면,2.0,65.0,3.1666666666666665,0.0,1.0,2.5
제주특별자치도,문도지오름,제주시,한림읍,7.0,52.5,4.5,0.0,1.0,4.25
제주특별자치도,고씨주택,제주시,일도일동,2.0,30.0,3.0,0.0,0.0,3.0
제주특별자치도,제주레포츠랜드,제주시,조천읍,5.0,48.0,4.0,0.0,2.8,4.0
