TRAVEL_ID,TRAVEL_MISSION_PRIORITY,GENDER,AGE_GRP,TRAVEL_STYL_1,TRAVEL_STYL_2,TRAVEL_STYL_3,TRAVEL_STYL_4,TRAVEL_STYL_5,TRAVEL_STYL_6,TRAVEL_STYL_7,TRAVEL_STYL_8,TRAVEL_MOTIVE_1,TRAVEL_NUM,TRAVEL_COMPANIONS_NUM,sido_gungu_list
a_a012187,3,여,50,2,5,7,4,2,7,7,7,3.0,1,1,"['전남+여수시+돌산읍', '전남+여수시+교동', '전남+순천시+송광면', '전남+여수시+문수동']"
c_c000381,6,여,20,3,1,2,1,3,7,3,6,10.0,1,1,"['전남+순천시+해룡면', '전남+순천시+연향동', '전남+순천시+대대동', '전남+순천시+오천동']"
c_c002655,7,여,20,2,6,6,4,1,2,1,7,3.0,4,1,"['전남+여수시+중앙동', '전남+여수시+수정동', '전남+여수시+돌산읍']"
c_c006217,9,남,30,5,2,4,5,5,5,2,3,3.0,1,3,['충남+계룡시+신도안면']
c_c009550,4,여,30,5,6,6,3,2,6,4,6,2.0,1,2,['전남+담양군+담양읍']
c_c005444,22,여,20,2,3,2,2,1,5,6,6,3.0,1,1,['전남+함평군+함평읍']
c_c001956,6,남,20,3,2,2,4,3,2,2,3,4.0,1,0,"['대전+유성구+도룡동', '대전+서구+장안동']"
c_c000370,5,여,30,3,3,3,2,2,4,2,5,9.0,2,5,['충북+단양군+단양읍']
c_c005780,3,여,30,5,2,1,1,7,4,6,7,8.0,1,1,['충남+공주시+사곡면']
c_c000441,8,남,20,3,5,6,5,4,5,5,6,2.0,1,1,"['충남+태안군+남면', '충남+태안군+안면읍', '충남+서산시+잠홍동']"
c_c002200,7,남,20,6,1,5,5,6,2,7,5,2.0,2,0,['전북+전주시+완산구']
c_c009243,22,여,20,6,5,3,3,4,5,3,4,2.0,2,4,['전남+담양군+담양읍']
c_c009674,2,여,20,4,1,1,3,2,4,6,5,1.0,5,0,"['전북+전주시+덕진구', '전북+전주시+완산구']"
c_c006457,3,여,30,3,3,2,3,4,3,2,6,4.0,2,0,"['전남+담양군+창평면', '전북+전주시+완산구']"
c_c013900,22,여,20,4,2,2,6,4,6,5,6,2.0,8,1,['전남+순천시+조례동']
c_c013384,1,여,30,2,1,2,5,5,3,2,6,9.0,4,1,"['대전+동구+추동', '대전+서구+만년동']"
c_c010882,6,여,40,1,2,1,4,5,5,2,6,3.0,1,1,"['충남+당진시+순성면', '충남+당진시+석문면', '충남+당진시+신평면']"
c_c011728,1,남,30,2,3,2,1,3,4,4,6,3.0,2,1,"['전북+전주시+덕진구', '전북+전주시+완산구']"
c_c008107,28,여,20,2,3,2,6,5,5,5,4,1.0,4,0,['충북+보은군+속리산면']
c_c013607,24,남,30,3,1,3,3,3,3,2,2,1.0,1,1,['충남+아산시+염치읍']
c_c007775,22,여,20,6,4,2,3,6,6,4,6,5.0,1,1,['전북+익산시+금마면']
c_c002213,8,남,30,1,2,2,2,1,4,2,4,7.0,1,1,"['충북+충주시+봉방동', '충북+충주시+문화동', '충북+충주시+동량면']"
c_c001822,27,여,20,7,1,2,6,6,4,1,7,3.0,4,4,"['전남+여수시+중앙동', '전남+여수시+수정동', '전남+여수시+고소동', '전남+여수시+돌산읍']"
c_c008031,3,여,20,4,4,2,3,5,5,3,6,2.0,1,1,['전북+전주시+덕진구']
c_c009355,10,여,40,2,6,2,2,6,4,2,6,3.0,4,1,"['충남+아산시+온천동', '충남+아산시+염치읍']"
c_c006108,1,여,50,1,1,1,3,2,7,1,2,9.0,4,1,['충남+아산시+송악면']
c_c009128,2,여,20,3,2,1,6,2,1,2,3,2.0,6,0,['전북+남원시+천거동']
c_c005646,3,여,20,6,2,4,3,3,4,7,2,2.0,2,0,['전북+고창군+고창읍']
c_c006870,9,여,30,3,1,1,1,4,2,7,4,3.0,2,1,['대전+유성구+봉명동']
c_c002885,4,남,20,4,4,1,1,4,4,4,6,3.0,6,1,['광주+동구+광산동']
c_c007880,2,여,30,3,2,2,2,6,6,5,6,7.0,1,1,"['충북+단양군+적성면', '충북+단양군+단양읍']"
c_c009192,6,여,30,3,1,6,1,2,6,3,7,2.0,2,0,"['전남+여수시+덕충동', '전남+여수시+종화동', '전남+여수시+중앙동', '전남+여수시+수정동', '전남+여수시+고소동']"
c_c001708,22,남,30,2,2,2,2,3,3,2,6,1.0,3,1,['충남+서산시+읍내동']
c_c000158,21,여,30,2,2,2,3,2,4,3,3,1.0,2,7,"['충북+제천시+중앙로1가', '충북+제천시+청풍면']"
c_c004681,4,남,20,3,2,2,4,4,3,6,5,7.0,1,1,"['대전+중구+은행동', '대전+중구+대흥동']"
c_c006441,23,남,40,4,2,2,2,4,4,3,6,2.0,4,1,"['전남+여수시+종화동', '전남+여수시+중앙동']"
c_c002454,4,여,60,2,2,2,1,2,5,5,2,3.0,1,3,"['광주+서구+양동', '광주+광산구+송정동']"
c_c014255,1,여,40,6,1,1,2,7,7,1,7,8.0,1,3,['충북+단양군+단양읍']
a_a015810,3,여,30,1,1,1,4,3,2,2,7,1.0,1,1,"['전북+전주시+덕진구', '전북+전주시+완산구']"
c_c007662,22,남,30,3,1,3,6,2,4,5,3,1.0,2,1,"['전북+전주시+덕진구', '전북+전주시+완산구']"
c_c014382,6,여,30,5,5,3,5,6,4,6,3,2.0,1,1,['전남+목포시+죽교동']
c_c000045,25,여,30,6,1,4,4,4,4,3,4,9.0,1,2,"['전북+군산시+경암동', '전북+군산시+옥도면']"
c_c002684,2,남,30,4,2,2,2,2,3,2,3,1.0,1,1,"['충북+제천시+모산동', '충북+제천시+청풍면']"
c_c009628,1,여,30,5,3,2,3,3,3,2,6,1.0,2,0,['전북+전주시+완산구']
c_c009038,2,여,30,3,5,4,5,3,6,6,7,2.0,2,3,['전북+순창군+순창읍']
c_c006077,8,남,30,4,4,4,4,4,4,4,4,2.0,1,1,['충남+태안군+남면']
c_c002387,2,남,20,1,1,3,2,2,2,5,6,7.0,1,1,['전남+여수시+교동']
c_c008800,3,여,30,2,4,3,3,3,3,4,3,2.0,3,1,['충남+아산시+염치읍']
c_c012703,9,여,20,1,3,7,5,1,4,5,5,1.0,2,0,"['대전+유성구+봉명동', '충북+청주시+상당구']"
c_c006364,5,남,60,2,2,5,5,3,5,6,6,6.0,2,0,"['충남+공주시+금성동', '충남+공주시+웅진동']"
c_c013752,3,남,40,1,1,4,4,1,1,1,6,9.0,2,1,"['충남+서산시+부석면', '충남+서산시+해미면', '충남+태안군+남면', '충남+보령시+신흑동', '충남+태안군+안면읍', '충남+태안군+소원면']"
c_c001178,3,여,30,6,2,4,3,6,4,1,6,8.0,4,4,['충남+부여군+규암면']
c_c008964,22,여,60,1,4,2,3,3,4,4,6,6.0,3,1,"['충북+괴산군+문광면', '충북+괴산군+칠성면']"
c_c011404,2,여,30,1,1,1,1,1,4,7,6,1.0,2,1,"['전북+전주시+덕진구', '전북+전주시+완산구', '전북+진안군+마령면']"
c_c012014,22,여,20,3,1,4,3,5,6,1,7,1.0,1,0,"['대전+서구+만년동', '대전+유성구+도룡동']"
c_c010087,2,남,20,4,2,3,3,2,4,7,6,4.0,2,0,['세종특별자치시+연기면+세종리']
c_c009042,2,여,30,2,3,3,4,2,3,3,6,3.0,2,2,"['충남+아산시+선장면', '충남+아산시+염치읍']"
c_c011238,21,여,30,3,2,2,3,4,4,5,3,7.0,6,1,"['충남+공주시+금성동', '충남+공주시+사곡면', '충남+공주시+웅진동']"
c_c005304,1,여,40,2,2,2,2,2,3,2,2,7.0,1,3,['전남+순천시+대대동']
c_c000606,23,남,30,4,2,4,2,2,5,6,5,6.0,3,0,['전남+목포시+용해동']
c_c001535,11,남,30,4,1,4,2,2,4,2,6,7.0,1,3,['충남+태안군+남면']
c_c013777,1,여,20,3,1,4,6,4,4,7,7,3.0,2,1,['전남+담양군+담양읍']
c_c011450,2,여,20,2,1,2,3,3,4,2,7,1.0,3,0,['전남+순천시+승주읍']
c_c003554,3,남,40,1,4,1,1,1,4,5,4,1.0,1,1,['충북+제천시+청풍면']
c_c006834,21,여,20,6,1,6,1,1,1,1,7,1.0,2,1,['전남+담양군+담양읍']
c_c003155,3,여,30,5,2,3,2,5,3,3,6,2.0,1,1,['충북+괴산군+문광면']
c_c009830,8,여,30,3,1,2,4,2,2,4,6,1.0,20,1,['충남+아산시+음봉면']
c_c008820,9,남,20,6,4,6,6,4,5,4,4,2.0,2,0,['대전+유성구+봉명동']
c_c011777,9,여,20,7,1,4,3,4,6,1,4,1.0,1,1,['전북+전주시+완산구']
c_c014256,22,여,20,1,2,2,6,7,2,6,7,1.0,1,0,['전남+장성군+북하면']
c_c006458,8,남,30,2,4,2,4,3,4,6,7,5.0,2,1,"['충북+단양군+대강면', '충북+단양군+가곡면', '충북+단양군+단양읍']"
c_c005621,22,여,30,6,6,7,6,6,4,3,2,3.0,2,3,['전북+고창군+공음면']
c_c000520,4,여,20,2,2,6,4,4,2,7,6,1.0,1,0,"['전북+전주시+덕진구', '전북+전주시+완산구']"
c_c014290,6,여,30,6,6,2,3,5,6,2,6,7.0,2,3,['전남+담양군+담양읍']
c_c007769,3,여,30,2,2,3,3,2,3,5,4,1.0,3,1,"['충북+단양군+적성면', '충북+단양군+매포읍', '충북+단양군+단양읍']"
c_c009073,3,여,50,1,4,3,5,3,6,7,1,1.0,1,3,"['충남+공주시+웅진동', '충남+공주시+반죽동']"
c_c011829,6,여,20,2,2,1,3,2,6,1,7,5.0,2,1,['전남+함평군+함평읍']
c_c004834,3,여,40,3,2,2,2,6,3,2,6,3.0,2,1,"['충남+아산시+염치읍', '충남+아산시+인주면']"
c_c014371,5,여,30,4,4,1,1,7,1,7,7,9.0,1,2,['부산+부산진구+부전동']
c_c009878,22,남,20,4,3,5,6,6,6,7,1,3.0,2,1,"['전남+여수시+종화동', '전남+여수시+중앙동', '전남+여수시+고소동']"
c_c000254,22,남,20,2,3,2,6,5,6,1,7,3.0,2,5,"['전북+전주시+덕진구', '전북+전주시+완산구', '전남+담양군+담양읍']"
b_b011137,2,남,40,2,6,3,4,6,3,5,6,2.0,2,0,['충남+당진시+신평면']
c_c014263,1,여,20,6,4,2,2,2,2,6,6,2.0,2,1,"['대전+동구+세천동', '대전+중구+은행동']"
c_c002900,4,여,20,2,2,4,4,3,2,2,6,7.0,1,0,"['전북+군산시+금광동', '전북+군산시+경암동', '전북+군산시+영화동', '전북+전주시+완산구']"
c_c009374,3,남,20,3,5,3,2,3,3,2,5,4.0,1,0,['충남+천안시+동남구']
c_c002793,8,남,40,2,2,4,5,4,5,2,4,1.0,2,1,['충북+괴산군+문광면']
c_c005070,3,남,30,1,3,1,2,1,6,1,7,3.0,2,2,['경북+문경시+문경읍']
c_c006039,3,남,20,4,3,2,6,6,3,6,3,1.0,2,0,"['전북+전주시+완산구', '전북+군산시+장미동']"
c_c009269,9,여,20,4,2,2,2,6,3,2,6,1.0,6,1,['전남+여수시+중앙동']
c_c009822,3,남,30,4,6,5,3,4,6,4,5,1.0,1,2,"['전북+군산시+중앙로1가', '전북+군산시+장미동', '전북+군산시+개정면']"
c_c011326,22,여,20,3,2,1,3,5,6,2,7,2.0,6,3,['전남+담양군+담양읍']
c_c012837,22,여,30,2,1,4,2,2,3,6,3,1.0,1,2,['충남+예산군+응봉면']
c_c003864,10,여,30,5,1,3,1,4,4,1,5,2.0,4,1,"['충북+제천시+모산동', '충북+제천시+중앙로1가', '경기+시흥시+정왕동']"
c_c012755,3,여,30,1,1,1,1,1,2,1,3,2.0,1,1,['충남+천안시+동남구']
c_c009513,5,여,30,3,4,5,3,3,2,6,6,7.0,4,1,"['충북+단양군+가곡면', '충북+단양군+영춘면']"
c_c006586,13,남,20,2,1,1,1,3,6,2,7,4.0,1,1,['충남+아산시+방축동']
c_c007572,3,여,20,4,1,1,4,4,6,3,7,2.0,6,1,"['전남+목포시+용해동', '전남+목포시+무안동', '전남+목포시+중동1가', '전남+목포시+대의동2가', '전남+목포시+명륜동']"
c_c009082,3,여,50,4,2,2,5,4,6,6,3,1.0,4,0,"['전북+남원시+어현동', '전북+남원시+천거동']"
c_c000999,26,여,40,2,4,2,2,4,3,2,5,3.0,10,3,"['충북+단양군+적성면', '충북+단양군+매포읍', '충북+단양군+단양읍']"
c_c014201,22,남,30,1,6,2,7,1,1,7,4,1.0,1,1,['전남+장성군+장성읍']
c_c009266,3,여,20,3,3,2,6,6,3,5,4,1.0,3,0,['충남+아산시+염치읍']
c_c011679,5,남,30,2,1,1,1,4,4,2,6,5.0,1,2,['충북+제천시+수산면']
c_c009188,6,남,20,7,1,1,1,4,6,6,6,1.0,1,0,"['전북+전주시+덕진구', '전북+전주시+완산구']"
c_c002944,8,여,20,3,1,2,2,3,4,3,7,2.0,5,1,['충남+공주시+반포면']
c_c003413,6,남,20,5,2,6,4,2,5,6,2,1.0,5,2,['전북+전주시+완산구']
c_c009062,1,여,20,3,3,2,2,6,6,2,7,2.0,2,1,"['전남+담양군+봉산면', '전남+담양군+담양읍']"
c_c012884,3,여,20,1,1,1,4,3,6,7,1,2.0,4,1,"['전남+순천시+남내동', '전남+순천시+승주읍', '전남+담양군+담양읍', '전남+화순군+화순읍', '전남+순천시+대대동', '전남+순천시+오천동']"
c_c004941,22,남,50,4,4,4,4,4,4,4,4,3.0,2,1,"['전북+전주시+덕진구', '전북+전주시+완산구']"
c_c001913,6,남,20,3,2,3,5,3,3,3,5,1.0,1,2,['충남+태안군+안면읍']
c_c003726,6,남,20,6,5,3,5,4,5,2,5,3.0,1,1,['전북+전주시+완산구']
c_c005897,21,여,20,2,2,2,2,1,6,6,3,9.0,1,1,['전남+보성군+보성읍']
c_c008997,21,여,20,3,3,3,3,5,5,6,3,10.0,1,0,['충남+아산시+탕정면']
c_c008952,3,남,30,3,5,3,4,3,2,6,3,6.0,1,0,"['대전+서구+월평동', '대전+유성구+봉명동']"
c_c003301,3,남,30,7,1,1,2,1,6,2,6,1.0,2,0,"['전북+군산시+신흥동', '전북+군산시+금광동', '전북+군산시+장미동']"
c_c006278,1,여,20,5,2,2,4,2,7,1,2,4.0,2,0,['충남+천안시+동남구']
c_c013620,22,남,20,1,7,4,4,2,3,7,3,2.0,3,1,['충북+옥천군+안남면']
c_c003230,23,여,20,5,2,2,3,5,4,3,4,3.0,1,1,"['충남+보령시+신흑동', '충남+보령시+궁촌동']"
c_c001884,22,여,30,1,2,2,3,3,3,1,7,3.0,5,4,"['전남+여수시+중앙동', '전남+여수시+웅천동', '전남+여수시+수정동', '전남+여수시+돌산읍']"
c_c012039,21,남,20,4,4,4,4,4,4,4,4,3.0,1,1,"['전북+전주시+덕진구', '전북+전주시+완산구']"
c_c005879,22,여,30,2,2,3,5,6,6,5,7,7.0,1,0,"['충북+단양군+적성면', '충북+단양군+단양읍']"
c_c008980,3,여,30,1,1,3,6,1,5,1,6,2.0,5,0,"['전북+고창군+고창읍', '전북+고창군+아산면']"
c_c011515,24,남,30,4,2,2,2,2,1,1,6,2.0,2,1,['광주+북구+충효동']
c_c013561,9,여,20,6,6,2,3,2,6,2,6,5.0,2,1,['전북+정읍시+내장동']
c_c002727,8,여,40,2,1,4,4,6,6,7,1,3.0,2,3,['충남+공주시+석장리동']
c_c008933,9,남,40,4,2,6,6,7,7,3,1,8.0,2,3,['충남+예산군+대흥면']
c_c003879,3,여,30,3,3,3,1,4,3,1,4,8.0,5,0,"['충남+아산시+염치읍', '충남+아산시+송악면', '충남+아산시+방축동']"
c_c014259,3,여,40,4,2,2,4,4,3,4,4,3.0,2,1,"['충남+공주시+금성동', '충남+공주시+웅진동']"
c_c007616,3,여,30,2,5,5,1,2,3,7,4,1.0,5,1,"['충남+홍성군+서부면', '충남+서산시+읍내동', '충남+서산시+해미면']"
c_c013609,3,남,30,2,5,2,5,6,4,6,6,2.0,2,1,"['충남+보령시+청라면', '충남+보령시+성주면']"
c_c011629,6,남,30,1,1,3,4,4,4,2,2,7.0,2,1,['전북+전주시+완산구']
c_c004726,21,여,50,4,4,4,2,4,4,4,4,1.0,2,1,['대전+대덕구+장동']
c_c011713,24,남,60,3,4,3,4,3,5,5,6,1.0,1,2,"['충남+당진시+합덕읍', '충남+당진시+순성면']"
c_c004157,3,여,50,4,4,2,3,4,3,1,6,3.0,4,3,['충북+제천시+송학면']
c_c003862,3,여,20,5,6,4,5,3,3,2,7,2.0,1,2,['전남+강진군+도암면']
c_c003934,21,여,60,1,2,1,2,1,4,2,5,2.0,3,1,"['전북+완주군+상관면', '전북+전주시+완산구']"
c_c011904,3,여,20,4,5,3,4,4,4,6,6,2.0,9,0,['전북+완주군+소양면']
c_c010948,21,여,30,3,5,2,2,6,4,5,5,1.0,3,1,['전남+담양군+담양읍']
c_c004558,6,여,20,4,3,6,2,4,2,2,7,10.0,2,0,"['전북+군산시+경장동', '전북+군산시+장미동']"
c_c002337,21,여,20,3,2,4,2,3,6,6,7,2.0,4,0,"['전북+전주시+덕진구', '전북+전주시+완산구']"
c_c001799,8,여,20,4,1,3,1,4,4,5,7,1.0,1,1,"['전남+여수시+중앙동', '전남+여수시+수정동', '전남+순천시+오천동']"
a_a006154,3,여,20,4,3,4,5,2,2,2,2,2.0,2,0,"['충남+공주시+금성동', '충남+공주시+신관동']"
c_c001149,22,여,30,3,2,2,1,3,2,6,6,1.0,5,2,"['충남+예산군+덕산면', '충남+예산군+신암면']"
b_b012637,25,여,30,2,1,1,1,4,5,3,6,3.0,5,3,['충남+태안군+안면읍']
c_c005583,9,남,60,5,3,5,5,5,7,5,3,3.0,3,1,['충남+천안시+동남구']
c_c005547,2,남,20,3,1,1,2,5,5,6,7,3.0,1,1,"['충북+충주시+목벌동', '충북+충주시+중앙탑면', '충북+충주시+문화동']"
c_c004818,22,여,20,2,1,1,3,4,2,7,6,5.0,5,1,"['충남+태안군+남면', '충남+태안군+소원면']"
c_c012175,9,여,30,4,4,5,5,5,5,5,5,7.0,1,2,['전남+함평군+함평읍']
c_c008970,22,여,30,2,5,6,6,6,3,6,7,1.0,1,1,"['충남+공주시+금성동', '충남+공주시+석장리동', '충남+공주시+웅진동', '충남+공주시+중동']"
c_c005791,22,여,30,5,6,6,4,5,6,6,7,3.0,4,3,"['경남+하동군+악양면', '경남+하동군+화개면']"
c_c001146,23,여,20,6,2,1,3,3,2,3,7,2.0,1,1,['전남+여수시+수정동']
c_c009753,1,남,20,4,4,4,6,3,3,7,2,2.0,1,1,"['전남+여수시+만흥동', '전남+여수시+교동', '전남+여수시+돌산읍']"
c_c002327,26,여,20,4,2,2,2,6,6,2,7,3.0,2,1,['충남+보령시+신흑동']
c_c003105,2,여,30,2,4,1,3,1,3,4,2,5.0,4,1,"['대전+서구+만년동', '대전+유성구+도룡동']"
c_c013208,22,여,20,5,2,3,2,6,5,1,5,7.0,3,1,['전북+전주시+완산구']
c_c002621,12,여,30,2,2,2,2,4,3,2,7,7.0,2,1,"['충남+보령시+신흑동', '충남+논산시+연무읍', '전북+전주시+덕진구']"
c_c009000,10,여,30,1,1,1,6,7,4,7,1,2.0,3,1,['충남+아산시+방축동']
c_c011177,21,여,30,1,1,4,1,1,4,5,5,1.0,3,0,"['전북+전주시+완산구', '전북+정읍시+내장동']"
c_c006880,21,여,60,4,4,6,4,4,6,2,7,8.0,4,0,['전북+군산시+신흥동']
c_c003358,2,여,20,4,1,1,3,1,6,1,6,5.0,1,1,"['전북+전주시+덕진구', '전북+전주시+완산구']"
c_c003336,23,여,30,6,2,4,3,4,4,7,7,1.0,1,1,"['전북+군산시+금광동', '충남+아산시+송악면', '전북+전주시+완산구']"
c_c002367,1,여,20,2,1,1,4,6,2,5,7,1.0,6,0,['대전+중구+대흥동']
c_c003477,1,여,20,6,3,4,4,3,5,2,3,2.0,1,0,['전북+전주시+덕진구']
c_c012303,22,여,30,1,1,1,1,4,2,1,7,3.0,2,3,"['전남+담양군+봉산면', '전남+담양군+담양읍']"
a_a001849,1,여,40,4,4,6,2,4,5,5,5,1.0,2,2,['충남+부여군+규암면']
c_c001727,22,여,20,2,1,2,2,5,2,6,3,1.0,2,1,"['충남+보령시+신흑동', '충남+보령시+남포면']"
c_c000105,3,남,40,2,5,4,4,4,4,4,4,3.0,6,3,['충북+제천시+수산면']
