TRAVEL_ID,VISIT_AREA_NM,SIDO,GUNGU,EUPMYEON,VISIT_AREA_TYPE_CD,DGSTFN,REVISIT_INTENTION,RCMDTN_INTENTION,RESIDENCE_TIME_MIN,REVISIT_YN,TRAVELER_ID,TRAVEL_MISSION_PRIORITY,GENDER,AGE_GRP,INCOME,TRAVEL_STYL_1,TRAVEL_STYL_2,TRAVEL_STYL_3,TRAVEL_STYL_4,TRAVEL_STYL_5,TRAVEL_STYL_6,TRAVEL_STYL_7,TRAVEL_STYL_8,TRAVEL_MOTIVE_1,TRAVEL_NUM,TRAVEL_COMPANIONS_NUM
d_d001716,산방산,제주특별자치도,서귀포시,안덕면,1.0,4.0,4.0,4.0,30.0,0,d001716,23,남,30,4,4,1,3,3,2,5,6,7,5.0,4,1
d_d007190,제주동문재래시장,제주특별자치도,제주시,이도일동,4.0,4.0,4.0,4.0,60.0,0,d007190,22,여,20,4,1,2,4,2,2,5,2,7,1.0,3,1
d_d007190,신창풍차해안도로,제주특별자치도,제주시,한경면,1.0,4.0,3.0,4.0,60.0,0,d007190,22,여,20,4,1,2,4,2,2,5,2,7,1.0,3,1
d_d007190,아쿠아플라넷 제주,제주특별자치도,서귀포시,성산읍,6.0,5.0,5.0,5.0,150.0,0,d007190,22,여,20,4,1,2,4,2,2,5,2,7,1.0,3,1
d_d007190,도두동무지개해안도로,제주특별자치도,제주시,도두일동,1.0,5.0,5.0,5.0,60.0,0,d007190,22,여,20,4,1,2,4,2,2,5,2,7,1.0,3,1
d_d007190,이호테우해수욕장,제주특별자치도,제주시,이호일동,1.0,5.0,5.0,5.0,60.0,0,d007190,22,여,20,4,1,2,4,2,2,5,2,7,1.0,3,1
d_d007190,곽지해수욕장,제주특별자치도,제주시,애월읍,1.0,3.0,3.0,3.0,60.0,0,d007190,22,여,20,4,1,2,4,2,2,5,2,7,1.0,3,1
d_d007190,서우봉 산책로,제주특별자치도,제주시,조천읍,7.0,5.0,5.0,5.0,60.0,0,d007190,22,여,20,4,1,2,4,2,2,5,2,7,1.0,3,1
d_d002181,윈드1947카트테마파크,제주특별자치도,서귀포시,토평동,5.0,5.0,5.0,5.0,60.0,1,d002181,5,남,20,3,5,1,2,1,4,6,2,4,2.0,4,3
d_d002181,우도,제주특별자치도,제주시,우도면,1.0,5.0,5.0,5.0,30.0,0,d002181,5,남,20,3,5,1,2,1,4,6,2,4,2.0,4,3
d_d010533,이호테우해수욕장,제주특별자치도,제주시,이호일동,1.0,4.0,3.0,3.0,30.0,0,d010533,1,여,20,4,4,4,4,4,4,4,4,4,2.0,2,0
d_d000768,제주동문시장,제주특별자치도,제주시,일도일동,4.0,4.0,3.0,4.0,60.0,1,d000768,26,남,30,3,1,6,1,7,6,6,2,2,10.0,2,1
d_d000768,오설록티뮤지엄,제주특별자치도,서귀포시,안덕면,3.0,4.0,3.0,3.0,60.0,0,d000768,26,남,30,3,1,6,1,7,6,6,2,2,10.0,2,1
d_d000768,신창풍차해안,제주특별자치도,제주시,한경면,1.0,3.0,3.0,3.0,30.0,0,d000768,26,남,30,3,1,6,1,7,6,6,2,2,10.0,2,1
d_d000768,협재해수욕장,제주특별자치도,제주시,한림읍,1.0,4.0,4.0,4.0,90.0,0,d000768,26,남,30,3,1,6,1,7,6,6,2,2,10.0,2,1
d_d004015,올레길 6코스(쇠소깍-서귀포 올레),제주특별자치도,서귀포시,보목동,7.0,4.0,4.0,4.0,60.0,0,d004015,6,남,40,7,5,2,3,2,2,4,2,5,3.0,1,1
d_d004015,기당미술관,제주특별자치도,서귀포시,서홍동,3.0,3.0,3.0,3.0,30.0,0,d004015,6,남,40,7,5,2,3,2,2,4,2,5,3.0,1,1
d_d003043,성산일출봉,제주특별자치도,서귀포시,성산읍,1.0,5.0,5.0,5.0,60.0,0,d003043,3,남,30,4,2,1,4,4,3,4,6,4,2.0,1,1
d_d003043,건강과성박물관,제주특별자치도,서귀포시,안덕면,2.0,2.0,2.0,2.0,60.0,0,d003043,3,남,30,4,2,1,4,4,3,4,6,4,2.0,1,1
d_d003043,용머리해안,제주특별자치도,서귀포시,안덕면,1.0,5.0,5.0,5.0,60.0,0,d003043,3,남,30,4,2,1,4,4,3,4,6,4,2.0,1,1
d_d006985,섭지코지,제주특별자치도,서귀포시,성산읍,7.0,2.0,1.0,3.0,60.0,0,d006985,21,여,20,3,3,3,3,5,5,5,5,4,3.0,1,2
d_d006985,생각하는정원,제주특별자치도,제주시,한경면,1.0,5.0,5.0,5.0,60.0,0,d006985,21,여,20,3,3,3,3,5,5,5,5,4,3.0,1,2
d_d006985,카멜리아힐,제주특별자치도,서귀포시,안덕면,1.0,4.0,4.0,4.0,120.0,0,d006985,21,여,20,3,3,3,3,5,5,5,5,4,3.0,1,2
d_d009215,수산봉,제주특별자치도,제주시,애월읍,7.0,4.0,4.0,4.0,30.0,0,d009215,3,여,40,1,1,7,1,1,1,1,7,7,7.0,3,1
d_d009215,항파두리 항몽유적지,제주특별자치도,제주시,애월읍,2.0,5.0,5.0,5.0,300.0,1,d009215,3,여,40,1,1,7,1,1,1,1,7,7,7.0,3,1
b_b004253,매미성,경남,거제시,장목면,2.0,5.0,5.0,5.0,60.0,0,b004253,2,여,20,3,4,2,1,3,1,1,2,6,7.0,1,1
b_b004253,포로수용소유적공원,경남,거제시,고현동,2.0,1.0,1.0,1.0,60.0,0,b004253,2,여,20,3,4,2,1,3,1,1,2,6,7.0,1,1
d_d001878,표선해수욕장,제주특별자치도,서귀포시,표선면,1.0,4.0,3.0,3.0,30.0,0,d001878,21,여,30,6,5,1,2,1,6,3,6,4,2.0,7,0
d_d005761,협재해수욕장,제주특별자치도,제주시,한림읍,1.0,5.0,5.0,5.0,60.0,0,d005761,2,남,30,5,1,1,1,1,1,4,1,5,3.0,4,1
