TRAVEL_ID,TRAVEL_MISSION_PRIORITY,GENDER,AGE_GRP,TRAVEL_STYL_1,TRAVEL_STYL_2,TRAVEL_STYL_3,TRAVEL_STYL_4,TRAVEL_STYL_5,TRAVEL_STYL_6,TRAVEL_STYL_7,TRAVEL_STYL_8,TRAVEL_MOTIVE_1,TRAVEL_NUM,TRAVEL_COMPANIONS_NUM,sido_gungu_list
c_c002139,6,여,30,7,2,1,2,6,6,3,6,1.0,3,0,"['서울+용산구+용산동6가', '서울+중구+남대문로5가', '서울+중구+명동2가']"
a_a001206,6,남,30,1,2,2,2,1,2,6,6,1.0,1,1,['경기+가평군+가평읍']
a_a008638,2,여,40,2,3,5,3,2,2,1,2,3.0,10,2,['경기+가평군+상면']
a_a006178,2,남,40,4,7,4,4,6,4,4,6,5.0,2,2,['경기+용인시+처인구']
a_a003713,25,여,30,2,6,1,2,4,4,6,7,1.0,3,0,['경기+고양시+덕양구']
a_a005594,11,남,30,2,7,2,6,6,6,6,2,3.0,2,3,['경기+과천시+과천동']
a_a002817,2,여,50,2,2,1,4,2,5,2,7,2.0,4,2,"['경기+포천시+일동면', '경기+포천시+영북면']"
a_a002940,2,여,20,3,7,1,6,1,4,7,5,8.0,1,0,"['경기+과천시+막계동', '서울+영등포구+여의도동', '서울+송파구+잠실동']"
a_a000667,21,남,20,4,2,2,1,2,1,6,3,2.0,6,1,['경기+안산시+단원구']
a_a001406,23,여,40,1,1,4,1,4,4,7,1,3.0,2,3,"['서울+종로구+훈정동', '서울+용산구+용산동2가', '서울+중구+명동2가']"
a_a002061,1,여,20,4,2,1,3,5,2,4,4,9.0,1,1,['서울+마포구+망원동']
a_a002408,1,여,40,3,4,3,3,4,3,3,4,1.0,1,3,['경기+고양시+덕양구']
a_a000412,22,여,30,4,1,4,1,4,4,3,7,2.0,3,3,['서울+종로구+예지동']
a_a012171,2,여,20,4,1,1,1,7,7,1,7,3.0,5,1,['경기+안산시+단원구']
a_a007007,2,여,20,2,1,1,1,1,1,3,6,1.0,1,1,['경기+광주시+도척면']
a_a005766,2,여,30,3,1,1,2,4,3,3,4,1.0,10,3,['경기+가평군+상면']
a_a010254,22,남,30,4,2,2,4,2,6,2,6,5.0,2,2,['경기+시흥시+장곡동']
a_a017820,1,여,50,3,4,3,3,3,4,4,5,1.0,2,1,"['서울+동작구+노량진동', '서울+용산구+이촌동']"
a_a004528,4,여,50,4,4,2,2,4,4,2,4,7.0,1,3,"['인천+연수구+송도동', '인천+중구+송월동3가']"
a_a002714,4,여,20,6,2,2,3,6,2,2,6,1.0,1,0,['경기+수원시+영통구']
a_a004168,3,남,30,5,5,6,4,5,5,5,2,3.0,8,1,"['서울+용산구+용산동6가', '서울+종로구+훈정동', '서울+중구+정동', '서울+용산구+용산동2가', '서울+종로구+세종로']"
b_b007529,13,여,30,2,2,2,6,2,4,6,4,2.0,1,0,"['강원+양양군+강현면', '강원+양양군+현남면']"
b_b004370,26,여,40,3,1,2,3,4,6,2,6,2.0,3,1,['강원+강릉시+강문동']
b_b008359,3,여,50,5,3,2,3,6,3,4,5,2.0,2,3,"['강원+인제군+북면', '강원+양양군+강현면']"
