TRAVEL_ID,VISIT_AREA_NM,SIDO,GUNGU,EUPMYEON,VISIT_AREA_TYPE_CD,DGSTFN,REVISIT_INTENTION,RCMDTN_INTENTION,RESIDENCE_TIME_MIN,REVISIT_YN,TRAVELER_ID,TRAVEL_MISSION_PRIORITY,GENDER,AGE_GRP,INCOME,TRAVEL_STYL_1,TRAVEL_STYL_2,TRAVEL_STYL_3,TRAVEL_STYL_4,TRAVEL_STYL_5,TRAVEL_STYL_6,TRAVEL_STYL_7,TRAVEL_STYL_8,TRAVEL_MOTIVE_1,TRAVEL_NUM,TRAVEL_COMPANIONS_NUM
d_d002756,점점,제주특별자치도,제주시,조천읍,11.0,4.0,4.0,4.0,30.0,0,d002756,10,여,30,4,1,1,4,2,4,4,4,7,1.0,2,1
d_d002756,원담,제주특별자치도,제주시,이도1동,11.0,5.0,5.0,5.0,60.0,1,d002756,10,여,30,4,1,1,4,2,4,4,4,7,1.0,2,1
d_d002756,미향해장국 플레이사계점,제주특별자치도,서귀포시,안덕면,11.0,5.0,5.0,5.0,30.0,0,d002756,10,여,30,4,1,1,4,2,4,4,4,7,1.0,2,1
d_d002756,순천미향,제주특별자치도,서귀포시,안덕면,11.0,4.0,3.0,4.0,60.0,0,d002756,10,여,30,4,1,1,4,2,4,4,4,7,1.0,2,1
d_d001260,오는정김밥,제주특별자치도,서귀포시,서귀동,11.0,5.0,5.0,5.0,30.0,1,d001260,22,여,20,4,1,1,2,4,2,4,6,6,2.0,1,0
d_d001260,창고96,제주특별자치도,서귀포시,남원읍,11.0,5.0,4.0,5.0,30.0,0,d001260,22,여,20,4,1,1,2,4,2,4,6,6,2.0,1,0
d_d001260,바다를본돼지 제주서귀포점,제주특별자치도,서귀포시,서귀동,11.0,5.0,5.0,5.0,60.0,1,d001260,22,여,20,4,1,1,2,4,2,4,6,6,2.0,1,0
d_d001260,성산봄죽칼국수 성산점,제주특별자치도,서귀포시,성산읍,11.0,5.0,5.0,5.0,60.0,0,d001260,22,여,20,4,1,1,2,4,2,4,6,6,2.0,1,0
d_d001260,브라보비치,제주특별자치도,서귀포시,성산읍,11.0,5.0,5.0,5.0,90.0,0,d001260,22,여,20,4,1,1,2,4,2,4,6,6,2.0,1,0
d_d000304,제주오라성,제주특별자치도,제주시,오라이동,11.0,5.0,5.0,5.0,30.0,0,d000304,2,남,20,4,4,3,6,2,5,5,6,5,3.0,3,2
d_d000304,썬라이즈135,제주특별자치도,서귀포시,성산읍,11.0,5.0,5.0,5.0,60.0,0,d000304,2,남,20,4,4,3,6,2,5,5,6,5,3.0,3,2
d_d000304,아궁이연탄집,제주특별자치도,제주시,삼도1동,11.0,5.0,5.0,5.0,120.0,0,d000304,2,남,20,4,4,3,6,2,5,5,6,5,3.0,3,2
d_d009637,어반정글그레이밤부,제주특별자치도,제주시,조천읍,11.0,5.0,4.0,5.0,120.0,0,d009637,22,여,30,3,7,6,1,1,7,7,7,7,7.0,1,1
d_d009637,홍고집,제주특별자치도,제주시,이도이동,11.0,3.0,3.0,3.0,60.0,0,d009637,22,여,30,3,7,6,1,1,7,7,7,7,7.0,1,1
d_d009637,새빌,제주특별자치도,제주시,애월읍,11.0,5.0,5.0,5.0,90.0,0,d009637,22,여,30,3,7,6,1,1,7,7,7,7,7.0,1,1
d_d009637,공작흑돼지,제주특별자치도,제주시,조천읍,11.0,5.0,3.0,5.0,60.0,0,d009637,22,여,30,3,7,6,1,1,7,7,7,7,7.0,1,1
d_d009637,스카이온파이브다이닝,제주특별자치도,서귀포시,안덕면,11.0,5.0,5.0,5.0,90.0,0,d009637,22,여,30,3,7,6,1,1,7,7,7,7,7.0,1,1
