TRAVEL_ID,VISIT_AREA_NM,SIDO,GUNGU,EUPMYEON,VISIT_AREA_TYPE_CD,DGSTFN,REVISIT_INTENTION,RCMDTN_INTENTION,RESIDENCE_TIME_MIN,REVISIT_YN,TRAVELER_ID,TRAVEL_MISSION_PRIORITY,GENDER,AGE_GRP,INCOME,TRAVEL_STYL_1,TRAVEL_STYL_2,TRAVEL_STYL_3,TRAVEL_STYL_4,TRAVEL_STYL_5,TRAVEL_STYL_6,TRAVEL_STYL_7,TRAVEL_STYL_8,TRAVEL_MOTIVE_1,TRAVEL_NUM,TRAVEL_COMPANIONS_NUM
a_a006562,화담숲,경기,광주시,도척면,1.0,5.0,5.0,5.0,330.0,0,a006562,2,남,60,4,3,4,7,2,2,4,4,4,6.0,1,2
a_a005139,롯데월드타워&롯데월드몰,서울,송파구,신천동,4.0,5.0,5.0,5.0,90.0,1,a005139,1,남,20,2,4,2,4,4,5,6,5,6,7.0,2,0
a_a005139,석촌호수 서호,서울,송파구,잠실동,1.0,4.0,5.0,5.0,60.0,1,a005139,1,남,20,2,4,2,4,4,5,6,5,6,7.0,2,0
a_a005193,궁평항수산물직판장,경기,화성시,서신면,1.0,5.0,5.0,5.0,180.0,0,a005193,6,남,50,6,6,5,3,3,5,5,2,6,3.0,1,2
a_a006750,재인폭포,경기,연천군,연천읍,1.0,4.0,4.0,4.0,30.0,0,a006750,6,여,50,1,1,7,1,4,7,4,3,7,3.0,2,1
a_a006750,임진강댑싸리공원,경기,연천군,중면,1.0,5.0,4.0,5.0,60.0,0,a006750,6,여,50,1,1,7,1,4,7,4,3,7,3.0,2,1
a_a014948,청와대 본관,서울,종로구,세종로,2.0,5.0,5.0,4.0,150.0,0,a014948,7,여,20,4,2,7,1,5,7,6,3,3,7.0,2,2
a_a014948,경의선숲길,서울,마포구,동교동,7.0,5.0,5.0,5.0,60.0,0,a014948,7,여,20,4,2,7,1,5,7,6,3,3,7.0,2,2
a_a014948,이태원거리,서울,용산구,이태원동,4.0,3.0,2.0,2.0,120.0,0,a014948,7,여,20,4,2,7,1,5,7,6,3,3,7.0,2,2
a_a014948,석촌호수 동호,서울,송파구,신천동,8.0,4.0,5.0,5.0,60.0,0,a014948,7,여,20,4,2,7,1,5,7,6,3,3,7.0,2,2
a_a014948,더현대서울,서울,영등포구,여의도동,4.0,5.0,5.0,5.0,60.0,0,a014948,7,여,20,4,2,7,1,5,7,6,3,3,7.0,2,2
a_a000056,롯데몰 수원점,경기,수원시,권선구,4.0,4.0,4.0,4.0,60.0,0,a000056,3,여,50,6,6,4,3,4,4,4,2,2,1.0,1,0
a_a000056,AK플라자 AKTown점,경기,수원시,팔달구,4.0,4.0,3.0,3.0,60.0,0,a000056,3,여,50,6,6,4,3,4,4,4,2,2,1.0,1,0
a_a000056,수원화성,경기,수원시,장안구,2.0,5.0,5.0,5.0,60.0,0,a000056,3,여,50,6,6,4,3,4,4,4,2,2,1.0,1,0
a_a000056,방화수류정,경기,수원시,팔달구,2.0,5.0,5.0,5.0,30.0,0,a000056,3,여,50,6,6,4,3,4,4,4,2,2,1.0,1,0
a_a000056,효원공원 월화원,경기,수원시,팔달구,1.0,5.0,4.0,4.0,60.0,0,a000056,3,여,50,6,6,4,3,4,4,4,2,2,1.0,1,0
a_a000056,행궁동벽화마을,경기,수원시,팔달구,7.0,4.0,5.0,5.0,60.0,0,a000056,3,여,50,6,6,4,3,4,4,4,2,2,1.0,1,0
a_a015245,에버랜드,경기,용인시,처인구,6.0,5.0,5.0,5.0,630.0,1,a015245,1,여,30,4,4,3,4,1,2,3,6,5,10.0,5,0
a_a004767,한국민속촌,경기,용인시,기흥구,6.0,5.0,5.0,5.0,240.0,0,a004767,2,여,30,5,1,4,2,4,2,1,1,6,3.0,4,3
a_a018006,남대문시장,서울,중구,남창동,4.0,1.0,5.0,5.0,120.0,1,a018006,1,여,30,5,2,4,6,5,2,2,2,6,1.0,6,0
a_a018006,동대문디자인플라자,서울,중구,을지로7가,3.0,5.0,5.0,5.0,30.0,1,a018006,1,여,30,5,2,4,6,5,2,2,2,6,1.0,6,0
a_a006026,파주프리미엄아울렛,경기,파주시,탄현면,4.0,5.0,5.0,5.0,120.0,1,a006026,1,여,20,8,6,3,4,5,5,3,6,6,5.0,2,1
a_a006026,프로방스마을,경기,파주시,탄현면,7.0,4.0,3.0,4.0,30.0,0,a006026,1,여,20,8,6,3,4,5,5,3,6,6,5.0,2,1
a_a006026,헤이리예술마을,경기,파주시,탄현면,7.0,4.0,4.0,4.0,30.0,1,a006026,1,여,20,8,6,3,4,5,5,3,6,6,5.0,2,1
a_a007058,KT&G상상마당 홍대,서울,마포구,서교동,3.0,4.0,4.0,4.0,30.0,0,a007058,1,여,20,4,7,1,4,1,1,6,4,7,3.0,1,1
a_a007894,수원화성 연무대 관광안내소,경기,수원시,팔달구,2.0,4.0,3.0,3.0,30.0,0,a007894,3,여,20,4,2,1,1,2,6,6,2,6,1.0,1,0
a_a007894,화성행궁,경기,수원시,팔달구,2.0,5.0,5.0,5.0,30.0,0,a007894,3,여,20,4,2,1,1,2,6,6,2,6,1.0,1,0
a_a018008,롯데프리미엄아울렛 타임빌라스,경기,의왕시,학의동,4.0,4.0,4.0,4.0,60.0,1,a018008,1,남,40,6,1,4,2,1,7,4,1,7,8.0,1,3
a_a007194,안양예술공원,경기,안양시,만안구,1.0,3.0,3.0,3.0,90.0,0,a007194,4,여,30,4,4,1,1,1,1,1,1,3,1.0,2,1
a_a005302,여의도한강공원,서울,영등포구,여의도동,1.0,4.0,4.0,5.0,30.0,1,a005302,1,여,50,4,1,1,6,1,1,4,4,4,1.0,4,1
a_a005302,더현대서울,서울,영등포구,여의도동,4.0,5.0,5.0,5.0,60.0,0,a005302,1,여,50,4,1,1,6,1,1,4,4,4,1.0,4,1
a_a002004,스타필드 안성,경기,안성시,공도읍,4.0,4.0,4.0,4.0,60.0,0,a002004,2,남,20,4,2,4,1,6,4,3,6,3,3.0,2,4
a_a002652,에버랜드,경기,용인시,처인구,6.0,5.0,4.0,4.0,390.0,1,a002652,2,여,30,4,4,4,2,1,4,3,2,5,2.0,4,1
a_a004683,화성행궁광장,경기,수원시,팔달구,2.0,3.0,3.0,3.0,30.0,1,a004683,3,남,40,7,1,1,3,5,2,5,5,5,8.0,1,4
a_a004683,화성행궁,경기,수원시,팔달구,2.0,4.0,3.0,3.0,60.0,0,a004683,3,남,40,7,1,1,3,5,2,5,5,5,8.0,1,4
a_a004683,수원화성 화홍문,경기,수원시,팔달구,2.0,5.0,5.0,5.0,30.0,0,a004683,3,남,40,7,1,1,3,5,2,5,5,5,8.0,1,4
a_a005095,서울공예박물관 어린이박물관,서울,종로구,안국동,2.0,5.0,5.0,5.0,90.0,1,a005095,11,여,40,4,7,1,1,1,4,7,1,4,7.0,1,2
a_a017957,AK플라자 AKTown점,경기,수원시,팔달구,4.0,4.0,4.0,4.0,30.0,1,a017957,1,여,30,4,1,4,4,3,1,2,6,6,5.0,6,2
a_a000407,서울숲,서울,성동구,성수동1가,3.0,5.0,5.0,5.0,60.0,0,a000407,1,남,30,4,5,5,3,5,5,5,5,3,1.0,1,2
a_a000407,광화문광장,서울,종로구,세종로,4.0,4.0,4.0,4.0,60.0,1,a000407,1,남,30,4,5,5,3,5,5,5,5,3,1.0,1,2
a_a000407,강남역사거리,서울,강남구,역삼동,4.0,5.0,5.0,5.0,300.0,1,a000407,1,남,30,4,5,5,3,5,5,5,5,3,1.0,1,2
a_a000407,에버랜드,경기,용인시,처인구,6.0,5.0,5.0,5.0,120.0,0,a000407,1,남,30,4,5,5,3,5,5,5,5,3,1.0,1,2
a_a000407,남산서울타워,서울,용산구,용산동2가,7.0,5.0,5.0,5.0,120.0,0,a000407,1,남,30,4,5,5,3,5,5,5,5,3,1.0,1,2
a_a000407,청와대 본관,서울,종로구,세종로,2.0,4.0,4.0,4.0,60.0,0,a000407,1,남,30,4,5,5,3,5,5,5,5,3,1.0,1,2
a_a000407,캐리비안베이,경기,용인시,처인구,6.0,5.0,5.0,5.0,360.0,0,a000407,1,남,30,4,5,5,3,5,5,5,5,3,1.0,1,2
a_a004093,신세계프리미엄아울렛 여주,경기,여주시,상거동,4.0,4.0,4.0,4.0,150.0,1,a004093,8,여,40,11,5,1,3,2,2,6,4,5,3.0,1,3
a_a005397,마장호수,경기,파주시,광탄면,1.0,4.0,3.0,4.0,90.0,0,a005397,22,여,30,1,1,1,1,4,4,4,1,7,7.0,3,1
a_a007866,수원화성 화홍문,경기,수원시,팔달구,2.0,4.0,3.0,4.0,60.0,0,a007866,3,여,30,5,1,2,1,6,1,3,2,3,1.0,1,0
a_a007866,수원화성,경기,수원시,장안구,2.0,4.0,3.0,3.0,60.0,0,a007866,3,여,30,5,1,2,1,6,1,3,2,3,1.0,1,0
a_a000030,수원화성,경기,수원시,장안구,2.0,5.0,5.0,5.0,360.0,0,a000030,6,남,20,1,3,2,1,6,6,1,7,6,9.0,1,3
a_a000030,방화수류정,경기,수원시,팔달구,2.0,5.0,5.0,5.0,60.0,0,a000030,6,남,20,1,3,2,1,6,6,1,7,6,9.0,1,3
a_a000030,송도달빛축제공원,인천,연수구,송도동,8.0,5.0,5.0,5.0,660.0,0,a000030,6,남,20,1,3,2,1,6,6,1,7,6,9.0,1,3
