TRAVEL_ID,VISIT_AREA_NM,SIDO,GUNGU,EUPMYEON,VISIT_AREA_TYPE_CD,DGSTFN,REVISIT_INTENTION,RCMDTN_INTENTION,RESIDENCE_TIME_MIN,REVISIT_YN,TRAVELER_ID,TRAVEL_MISSION_PRIORITY,GENDER,AGE_GRP,INCOME,TRAVEL_STYL_1,TRAVEL_STYL_2,TRAVEL_STYL_3,TRAVEL_STYL_4,TRAVEL_STYL_5,TRAVEL_STYL_6,TRAVEL_STYL_7,TRAVEL_STYL_8,TRAVEL_MOTIVE_1,TRAVEL_NUM,TRAVEL_COMPANIONS_NUM
d_d003731,봄그리고가을리조트,제주특별자치도,서귀포시,성산읍,24.0,5.0,5.0,5.0,90.0,0,d003731,2,여,20,5,2,2,2,2,5,3,5,5,9.0,1,3
d_d010606,제주기역,제주특별자치도,제주시,한림읍,24.0,5.0,5.0,5.0,30.0,1,d010606,1,여,20,4,2,2,4,3,6,3,2,5,9.0,1,4
d_d010606,제주기역,제주특별자치도,제주시,한림읍,24.0,5.0,5.0,5.0,210.0,1,d010606,1,여,20,4,2,2,4,3,6,3,2,5,9.0,1,4
d_d010606,제주사진집,제주특별자치도,서귀포시,안덕면,24.0,4.0,3.0,3.0,270.0,0,d010606,1,여,20,4,2,2,4,3,6,3,2,5,9.0,1,4
d_d010131,어반아일랜드호텔,제주특별자치도,제주시,연동,24.0,3.0,2.0,2.0,60.0,1,d010131,11,남,20,3,6,2,1,6,5,6,2,7,5.0,2,0
d_d010131,어반아일랜드호텔,제주특별자치도,제주시,연동,24.0,4.0,3.0,3.0,30.0,0,d010131,11,남,20,3,6,2,1,6,5,6,2,7,5.0,2,0
d_d010131,골든튤립제주성산호텔,제주특별자치도,서귀포시,성산읍,24.0,4.0,4.0,4.0,1440.0,1,d010131,11,남,20,3,6,2,1,6,5,6,2,7,5.0,2,0
d_d003152,협재 마당게스트하우스,제주특별자치도,제주시,한림읍,24.0,5.0,5.0,5.0,360.0,0,d003152,12,여,20,2,1,6,2,7,1,2,7,1,2.0,5,0
d_d006840,호텔브릿지 서귀포,제주특별자치도,서귀포시,서귀동,24.0,2.0,4.0,4.0,60.0,0,d006840,22,여,20,1,3,2,2,3,3,5,3,7,7.0,2,1
d_d006840,호텔브릿지 서귀포,제주특별자치도,서귀포시,서귀동,24.0,5.0,4.0,4.0,150.0,0,d006840,22,여,20,1,3,2,2,3,3,5,3,7,7.0,2,1
d_d002789,플레이스캠프제주,제주특별자치도,서귀포시,성산읍,24.0,4.0,3.0,3.0,210.0,0,d002789,11,여,40,2,1,2,4,2,2,2,2,2,9.0,2,2
d_d002789,아루미호텔 협재점,제주특별자치도,제주시,한림읍,24.0,3.0,3.0,3.0,120.0,0,d002789,11,여,40,2,1,2,4,2,2,2,2,2,9.0,2,2
d_d001952,아이미제주비치호텔,제주특별자치도,제주시,조천읍,24.0,2.0,1.0,1.0,210.0,0,d001952,1,여,20,3,4,2,3,3,2,6,6,1,2.0,6,1
d_d011016,신신호텔 천지연,제주특별자치도,서귀포시,서귀동,24.0,3.0,2.0,3.0,450.0,0,d011016,26,여,30,4,2,1,1,1,4,2,5,7,4.0,1,0
d_d011016,아침해변펜션,제주특별자치도,제주시,조천읍,24.0,4.0,3.0,3.0,1440.0,0,d011016,26,여,30,4,2,1,1,1,4,2,5,7,4.0,1,0
d_d001424,백패커스홈,제주특별자치도,서귀포시,서귀동,24.0,4.0,4.0,4.0,360.0,0,d001424,1,남,30,4,6,4,4,6,3,5,3,2,1.0,6,3
d_d002114,도두해수파크,제주특별자치도,제주시,도두일동,24.0,4.0,4.0,4.0,90.0,0,d002114,21,남,30,4,4,2,2,5,3,5,3,3,2.0,2,0
d_d009946,노블피아,제주특별자치도,서귀포시,서귀동,24.0,4.0,4.0,4.0,90.0,0,d009946,6,여,20,4,4,4,4,3,3,4,3,3,2.0,2,1
d_d009946,노블피아,제주특별자치도,서귀포시,서귀동,24.0,4.0,4.0,4.0,150.0,0,d009946,6,여,20,4,4,4,4,3,3,4,3,3,2.0,2,1
d_d004297,제주오리엔탈호텔,제주특별자치도,제주시,삼도이동,24.0,4.0,4.0,4.0,300.0,0,d004297,23,여,40,3,7,2,6,4,6,2,6,4,8.0,1,1
d_d001579,휘닉스제주,제주특별자치도,서귀포시,성산읍,24.0,5.0,5.0,5.0,330.0,0,d001579,23,여,30,5,1,4,1,2,4,4,7,6,3.0,1,3
d_d001579,휘닉스제주,제주특별자치도,서귀포시,성산읍,24.0,4.0,4.0,4.0,30.0,0,d001579,23,여,30,5,1,4,1,2,4,4,7,6,3.0,1,3
d_d001579,휘닉스제주,제주특별자치도,서귀포시,성산읍,24.0,5.0,5.0,5.0,240.0,0,d001579,23,여,30,5,1,4,1,2,4,4,7,6,3.0,1,3
d_d001579,휘닉스제주,제주특별자치도,서귀포시,성산읍,24.0,5.0,5.0,5.0,840.0,0,d001579,23,여,30,5,1,4,1,2,4,4,7,6,3.0,1,3
