SIDO,VISIT_AREA_NM,GUNGU,EUPMYEON,VISIT_AREA_TYPE_CD,RESIDENCE_TIME_MIN_mean,RCMDTN_INTENTION_mean,REVISIT_YN_mean,TRAVEL_COMPANIONS_NUM_mean,REVISIT_INTENTION_mean
제주특별자치도,스테이아하,제주시,한림읍,24.0,120.0,5.0,0.0,1.0,5.0
제주특별자치도,오릭인제주,제주시,구좌읍,24.0,180.0,2.6666666666666665,0.6666666666666666,1.0,2.6666666666666665
제주특별자치도,한림속 하루,제주시,한림읍,24.0,180.0,5.0,0.8,2.0,5.0
제주특별자치도,낙천주의자들,제주시,구좌읍,24.0,105.0,4.25,0.75,1.0,4.25
인천,포엠펜션,옹진군,영흥면,24.0,690.0,5.0,0.5,2.0,5.0
전남,수완펜션,고흥군,금산면,24.0,210.0,3.5,0.0,0.0,3.5
제주특별자치도,무명고택,서귀포시,표선면,24.0,675.0,2.0,0.0,2.0,2.0
제주특별자치도,신창윤업사,제주시,한경면,24.0,285.0,4.5,0.5,1.0,4.5
경북,풍경채펜션,울릉군,울릉읍,24.0,150.0,4.0,0.5,0.0,4.0
경북,K모텔,울릉군,울릉읍,24.0,165.0,5.0,0.5,0.0,5.0
제주특별자치도,장미여관,서귀포시,법환동,24.0,240.0,2.0,0.5,1.0,3.0
제주특별자치도,모이모이펜션,제주시,한림읍,24.0,90.0,4.5,0.0,5.0,4.5
경남,통영바다52,통영시,인평동,24.0,195.0,3.0,0.5,3.0,3.0
경남,글램독 통영점,통영시,광도면,24.0,210.0,5.0,0.0,3.0,5.0
