SIDO,VISIT_AREA_NM,GUNGU,EUPMYEON,VISIT_AREA_TYPE_CD,RESIDENCE_TIME_MIN_mean,RCMDTN_INTENTION_mean,REVISIT_YN_mean,TRAVEL_COMPANIONS_NUM_mean,REVISIT_INTENTION_mean
제주특별자치도,심바카레,제주시,애월읍,11.0,45.0,5.0,0.0,0.5,5.0
제주특별자치도,파리바게뜨 제주공항점,제주시,용담이동,11.0,30.0,4.0,0.0,0.5,3.5
제주특별자치도,성아시,제주시,한림읍,11.0,45.0,3.0,0.0,1.5,3.0
제주특별자치도,두툼한고기돈돼지,제주시,조천읍,11.0,80.0,4.333333333333333,0.0,1.3333333333333333,4.333333333333333
제주특별자치도,착한집석쇠구이,제주시,한림읍,11.0,60.0,4.0,0.0,1.0,4.0
제주특별자치도,우호적무관심,제주시,한경면,11.0,45.0,3.0,0.0,1.5,3.0
제주특별자치도,독고집 성산본점,서귀포시,성산읍,11.0,60.0,5.0,0.0,0.0,5.0
제주특별자치도,성산포자연산회센타,서귀포시,성산읍,11.0,105.0,3.5,0.0,0.5,4.0
제주특별자치도,제주올레여행자센터,서귀포시,서귀동,11.0,30.0,4.0,0.0,0.0,3.5
제주특별자치도,성산일출봉손칼국수,서귀포시,성산읍,11.0,45.0,3.0,0.0,0.0,3.0
제주특별자치도,인디고인디드,제주시,애월읍,11.0,90.0,4.333333333333333,0.0,1.3333333333333333,4.333333333333333
제주특별자치도,담또와,제주시,구좌읍,11.0,50.0,4.333333333333333,0.0,1.0,4.0
제주특별자치도,블루메베이글,제주시,이도이동,11.0,50.0,5.0,0.3333333333333333,2.0,5.0
제주특별자치도,오직흑돼지 공항본점,제주시,용담삼동,11.0,50.0,4.666666666666667,0.0,1.3333333333333333,4.666666666666667
제주특별자치도,드르쿰다in성산,서귀포시,성산읍,11.0,70.0,4.0,0.0,1.6666666666666667,3.333333333333333
제주특별자치도,페를로,서귀포시,안덕면,11.0,60.0,5.0,0.0,1.0,5.0
