SIDO,VISIT_AREA_NM,GUNGU,EUPMYEON,VISIT_AREA_TYPE_CD,RESIDENCE_TIME_MIN_mean,RCMDTN_INTENTION_mean,REVISIT_YN_mean,TRAVEL_COMPANIONS_NUM_mean,REVISIT_INTENTION_mean
제주특별자치도,하와이안비치로스터리카페,서귀포시,성산읍,11.0,60.0,4.0,0.0,4.5,4.0
제주특별자치도,오만정성 제주협재점,제주시,한림읍,11.0,70.0,2.6666666666666665,0.0,2.333333333333333,2.333333333333333
제주특별자치도,양가네,서귀포시,안덕면,11.0,45.0,3.25,0.0,1.25,3.0
제주특별자치도,애월리에,제주시,애월읍,11.0,105.0,1.5,0.0,0.5,1.5
제주특별자치도,동화로 연탄구이,제주시,화북일동,11.0,60.0,4.333333333333333,0.0,1.0,4.333333333333333
제주특별자치도,콜체스카페,제주시,애월읍,11.0,75.0,2.5,0.0,0.0,2.0
제주특별자치도,토끼문,제주시,구좌읍,11.0,120.0,3.5,0.0,1.0,3.5
제주특별자치도,보말이네,제주시,애월읍,11.0,30.0,4.0,0.0,1.5,3.5
제주특별자치도,애월7일,제주시,애월읍,11.0,75.0,4.0,0.0,1.5,4.0
제주특별자치도,알동네국수,서귀포시,하효동,11.0,30.0,2.6666666666666665,0.0,1.0,2.6666666666666665
제주특별자치도,빨간집 성산점,서귀포시,성산읍,11.0,45.0,3.5,0.5,0.5,3.5
제주특별자치도,서귀포백돼지,서귀포시,서귀동,11.0,75.0,4.5,0.0,2.0,4.5
제주특별자치도,이춘옥원조고등어쌈밥 월정점,제주시,구좌읍,11.0,60.0,5.0,0.0,2.5,5.0
제주특별자치도,임성반점,제주시,용담이동,11.0,40.0,4.0,0.3333333333333333,0.3333333333333333,4.0
제주특별자치도,데코보코,제주시,일도일동,11.0,75.0,4.5,0.0,0.0,2.5
제주특별자치도,길리추팡,서귀포시,대포동,11.0,45.0,3.5,0.0,2.0,3.5
제주특별자치도,제주나기,제주시,애월읍,11.0,60.0,4.5,0.0,1.5,4.5
제주특별자치도,솔브레,제주시,일도일동,11.0,45.0,5.0,0.0,0.5,5.0
제주특별자치도,털보네고양이,서귀포시,남원읍,11.0,60.0,4.0,0.3333333333333333,0.0,3.333333333333333
제주특별자치도,충민정,제주시,용담일동,11.0,45.0,4.0,0.0,3.0,4.0
제주특별자치도,꺼멍목장,서귀포시,하원동,11.0,75.0,4.0,0.0,3.5,3.5
제주특별자치도,난산리다방,서귀포시,성산읍,11.0,60.0,5.0,0.0,3.0,5.0
제주특별자치도,가시어멍김밥 제주본점,제주시,노형동,11.0,60.0,3.0,0.5,0.5,2.5
제주특별자치도,제주따이,제주시,노형동,11.0,60.0,5.0,0.0,2.0,5.0
제주특별자치도,비지곶식당,제주시,구좌읍,11.0,45.0,4.5,1.0,1.0,4.5
제주특별자치도,우땅,제주시,우도면,11.0,30.0,3.0,0.0,0.5,3.5
제주특별자치도,현애원&카페이스틀리,서귀포시,성산읍,11.0,40.0,3.0,0.0,1.0,2.6666666666666665
제주특별자치도,코코메아,제주시,한경면,11.0,45.0,4.5,0.0,1.0,4.5
